; CSV, generated by libsigrok4DSL 0.2.0 on Thu Apr 09 14:56:01 2020
; Channels (3/16)
; Sample rate: 50 MHz
; Sample count: 250.384 M Samples
Time(s), E, D, 2
0.05484846,0,0,0
0.05484852,0,1,0
0.05484862,0,0,0
0.0548487,0,1,0
0.05484878,0,0,0
0.05484886,0,1,0
0.05484896,0,0,0
0.05484902,0,1,0
0.05484918,0,0,0
0.05484928,0,1,0
0.05484936,0,0,0
0.0548495,0,1,0
0.05484968,0,0,0
0.05484984,0,1,0
0.05485,0,0,0
0.05485016,0,1,0
0.05485034,0,0,0
0.0548505,0,1,0
0.05485062,0,0,0
0.0548507,0,1,0
0.05485084,0,0,0
0.05485094,0,1,0
0.05485104,0,0,0
0.0548511,0,1,0
0.0548512,0,0,0
0.05485132,0,1,0
0.05485146,0,0,0
0.05485152,0,1,0
0.05485168,0,0,0
0.05485178,0,1,0
0.05485186,0,0,0
0.05485194,0,1,0
0.05485204,0,0,0
0.0548521,0,1,0
0.0548522,0,0,0
0.05485234,0,1,0
0.05485246,0,0,0
0.05485252,0,1,0
0.05485268,0,0,0
0.05485284,0,1,0
0.05485302,0,0,0
0.0548531,0,1,0
0.0548532,0,0,0
0.05485328,0,1,0
0.05485338,0,0,0
0.05485344,0,1,0
0.05485354,0,0,0
0.05485362,0,1,0
0.0548537,0,0,0
0.05485378,0,1,0
0.05485388,0,0,0
0.05485394,0,1,0
0.05485404,0,0,0
0.05485412,0,1,0
0.05485422,0,0,0
0.05485434,0,1,0
0.05485452,0,0,0
0.05485468,0,1,0
0.05485486,0,0,0
0.05485496,0,1,0
0.05485506,0,0,0
0.0548552,0,1,0
0.05485536,0,0,0
0.05485552,0,1,0
0.0548557,0,0,0
0.0548558,0,1,0
0.0548559,0,0,0
0.05485596,0,1,0
0.05485606,0,0,0
0.05485612,0,1,0
0.05485626,0,0,0
0.05485632,0,1,0
0.05485642,0,0,0
0.05485654,0,1,0
0.05485672,0,0,0
0.05485682,0,1,0
0.0548569,0,0,0
0.05485706,0,1,0
0.05485724,0,0,0
0.05485784,1,0,0
0.06087498,1,1,0
0.06087526,1,0,0
0.06087552,1,1,0
0.06087564,1,0,0
0.0608758,1,1,0
0.06087598,1,0,0
0.06087614,1,1,0
0.06087624,1,0,0
0.06087632,1,1,0
0.06087648,1,0,0
0.06087656,1,1,0
0.06087664,1,0,0
0.06087678,1,1,0
0.0608769,1,0,0
0.06087698,1,1,0
0.06087712,1,0,0
0.06087728,1,1,0
0.0608774,1,0,0
0.06087746,1,1,0
0.0608775,0,1,0
0.06087762,0,0,0
0.06087778,0,1,0
0.06087788,0,0,0
0.06087796,0,1,0
0.06087806,0,0,0
0.06087812,0,1,0
0.06087822,0,0,0
0.06087828,0,1,0
0.06087844,0,0,0
0.0608786,0,1,0
0.06087878,0,0,0
0.06087892,0,1,0
0.0608791,0,0,0
0.0608792,0,1,0
0.0608793,0,0,0
0.06087942,0,1,0
0.06087954,0,0,0
0.06087962,0,1,0
0.06087976,0,0,0
0.06087992,0,1,0
0.0608801,0,0,0
0.06088026,0,1,0
0.06088044,0,0,0
0.0608806,0,1,0
0.0608807,0,0,0
0.06088078,0,1,0
0.06088094,0,0,0
0.0608811,0,1,0
0.06088126,0,0,0
0.06088136,0,1,0
0.06088146,0,0,0
0.06088154,0,1,0
0.06088162,0,0,0
0.0608817,0,1,0
0.06088178,0,0,0
0.06088186,0,1,0
0.06088196,0,0,0
0.06088204,0,1,0
0.06088212,0,0,0
0.0608822,0,1,0
0.06088228,0,0,0
0.06088242,0,1,0
0.06088254,0,0,0
0.06088262,0,1,0
0.0608827,0,0,0
0.06088278,0,1,0
0.06088288,0,0,0
0.06088296,0,1,0
0.06088304,0,0,0
0.06088312,0,1,0
